source_format,target_format,lev_score,fuzz_lev_score,fuzz_abb_score,vect_score,match
batchref,batchreference,56.99999999999999,73,100,68.0,1
txnref,transactionreference,25.0,38,67,25.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
supplier,suppliername,67.0,80,100,69.0,1
invref,invoicereference,38.0,55,67,35.0,1
poref,poreference,45.0,62,100,61.0,1
invdate,invoicedate,64.0,78,71,49.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
invccy,invoicecurrency,40.0,57,67,23.0,1
matdate,maturitydate,57.99999999999999,74,71,54.0,1
paydate,paymentdate,64.0,78,57,49.0,1
tenor,tenor,100.0,100,100,100.0,1
netamt,netamount,67.0,80,83,47.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
discamt,discountamount,50.0,67,57,24.0,1
adjustamt,adjustmentamount,56.00000000000001,72,78,45.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
payterm,paymentterm,64.0,78,57,49.0,1
status,status,100.0,100,100,100.0,1
note,notes,80.0,89,100,78.0,1
batchnum,batchreference,43.0,55,62,25.0,1
txnnum,transactionreference,15.0,23,33,0.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
supplier,suppliername,67.0,80,100,69.0,1
invnum,invoicereference,25.0,36,50,11.0,1
ponum,poreference,27.0,38,40,8.0,1
invdt,invoicedate,45.0,62,60,19.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
invccy,invoicecurrency,40.0,57,67,23.0,1
matdt,maturitydate,42.0,59,60,27.0,1
payduedt,paymentdate,45.0,53,50,14.000000000000002,1
tenor,tenor,100.0,100,100,100.0,1
netamt,netamount,67.0,80,83,47.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
discamt,discountamount,50.0,67,57,24.0,1
adjustamt,adjustmentamount,56.00000000000001,72,78,45.0,1
adjustreason,adjustmentreasoncode,60.0,75,67,64.0,1
payterm,paymentterm,64.0,78,57,49.0,1
status,status,100.0,100,100,100.0,1
notes,notes,100.0,100,100,100.0,1
batchreference,batchreference,100.0,100,100,100.0,1
transactionreference,transactionreference,100.0,100,100,100.0,1
buyername,buyername,100.0,100,100,100.0,1
suppliername,suppliername,100.0,100,100,100.0,1
invoicereference,invoicereference,100.0,100,100,100.0,1
poreference,poreference,100.0,100,100,100.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
invoiceamount,invoiceamount,100.0,100,100,100.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
maturitydate,maturitydate,100.0,100,100,100.0,1
paymentdate,paymentdate,100.0,100,100,100.0,1
tenor,tenor,100.0,100,100,100.0,1
netamount,netamount,100.0,100,100,100.0,1
grossamount,grossamount,100.0,100,100,100.0,1
discountamount,discountamount,100.0,100,100,100.0,1
adjustmentamount,adjustmentamount,100.0,100,100,100.0,1
adjustmentreasoncode,adjustmentreasoncode,100.0,100,100,100.0,1
paymentterm,paymentterm,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
notes,notes,100.0,100,100,100.0,1
batchnumber,batchreference,43.0,56,64,26.0,1
transactionnumber,transactionreference,60.0,70,76,43.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
supplier,suppliername,67.0,80,100,69.0,1
invoicenumber,invoicereference,50.0,62,69,48.0,1
ponumber,poreference,27.0,42,50,12.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
invoiceamount,invoiceamount,100.0,100,100,100.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
maturitydate,maturitydate,100.0,100,100,100.0,1
paymentdate,paymentdate,100.0,100,100,100.0,1
tenor,tenor,100.0,100,100,100.0,1
netamt,netamount,67.0,80,83,47.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
discountamt,discountamount,79.0,88,91,81.0,1
adjustmamt,adjustmentamount,62.0,77,80,41.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
payterm,paymentterm,64.0,78,57,49.0,1
status,status,100.0,100,100,100.0,1
notes,notes,100.0,100,100,100.0,1
suppliername,suppliername,100.0,100,100,100.0,1
paydate,paymentdate,64.0,78,57,49.0,1
ponum,poreference,27.0,38,40,8.0,1
maturitydate,maturitydate,100.0,100,100,100.0,1
maturitydate,maturitydate,100.0,100,100,100.0,1
invdt,invoicedate,45.0,62,60,19.0,1
invref,invoicereference,38.0,55,67,35.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
payterm,paymentterm,64.0,78,57,49.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
invoiceamount,invoiceamount,100.0,100,100,100.0,1
invoicenumber,invoicereference,50.0,62,69,48.0,1
netamt,netamount,67.0,80,83,47.0,1
status,status,100.0,100,100,100.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
paymentdate,paymentdate,100.0,100,100,100.0,1
payterm,paymentterm,64.0,78,57,49.0,1
grossamount,grossamount,100.0,100,100,100.0,1
discountamt,discountamount,79.0,88,91,81.0,1
discamt,discountamount,50.0,67,57,24.0,1
tenor,tenor,100.0,100,100,100.0,1
paymentterm,paymentterm,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
invccy,invoicecurrency,40.0,57,67,23.0,1
netamt,netamount,67.0,80,83,47.0,1
status,status,100.0,100,100,100.0,1
buyername,buyername,100.0,100,100,100.0,1
invccy,invoicecurrency,40.0,57,67,23.0,1
invoicereference,invoicereference,100.0,100,100,100.0,1
discountamount,discountamount,100.0,100,100,100.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
adjustmentamount,adjustmentamount,100.0,100,100,100.0,1
batchref,batchreference,56.99999999999999,73,100,68.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
poref,poreference,45.0,62,100,61.0,1
invoiceamount,invoiceamount,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
invoicedate,invoicedate,100.0,100,100,100.0,1
ponumber,poreference,27.0,42,50,12.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
batchnumber,batchreference,43.0,56,64,26.0,1
note,notes,80.0,89,100,78.0,1
payduedt,paymentdate,45.0,53,50,14.000000000000002,1
adjustamt,adjustmentamount,56.00000000000001,72,78,45.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
notes,notes,100.0,100,100,100.0,1
supplier,suppliername,67.0,80,100,69.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
supplier,suppliername,67.0,80,100,69.0,1
matdt,maturitydate,42.0,59,60,27.0,1
tenor,tenor,100.0,100,100,100.0,1
txnnum,transactionreference,15.0,23,33,0.0,1
netamt,netamount,67.0,80,83,47.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
invoicecurrency,invoicecurrency,100.0,100,100,100.0,1
adjustmamt,adjustmentamount,62.0,77,80,41.0,1
batchreference,batchreference,100.0,100,100,100.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
notes,notes,100.0,100,100,100.0,1
payterm,paymentterm,64.0,78,57,49.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
paymentdate,paymentdate,100.0,100,100,100.0,1
batchnum,batchreference,43.0,55,62,25.0,1
adjustamt,adjustmentamount,56.00000000000001,72,78,45.0,1
txnref,transactionreference,25.0,38,67,25.0,1
transactionnumber,transactionreference,60.0,70,76,43.0,1
transactionreference,transactionreference,100.0,100,100,100.0,1
discamt,discountamount,50.0,67,57,24.0,1
adjustmentreasoncode,adjustmentreasoncode,100.0,100,100,100.0,1
invnum,invoicereference,25.0,36,50,11.0,1
netamount,netamount,100.0,100,100,100.0,1
poreference,poreference,100.0,100,100,100.0,1
supplier,suppliername,67.0,80,100,69.0,1
notes,notes,100.0,100,100,100.0,1
invdate,invoicedate,64.0,78,71,49.0,1
matdate,maturitydate,57.99999999999999,74,71,54.0,1
tenor,tenor,100.0,100,100,100.0,1
tenor,tenor,100.0,100,100,100.0,1
adjustreason,adjustmentreasoncode,60.0,75,67,64.0,1
supplier,suppliername,67.0,80,100,69.0,1
note,notes,80.0,89,100,78.0,1
matdate,maturitydate,57.99999999999999,74,71,54.0,1
notes,notes,100.0,100,100,100.0,1
netamount,netamount,100.0,100,100,100.0,1
tenor,tenor,100.0,100,100,100.0,1
suppliername,suppliername,100.0,100,100,100.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
transactionreference,transactionreference,100.0,100,100,100.0,1
invoicereference,invoicereference,100.0,100,100,100.0,1
paydate,paymentdate,64.0,78,57,49.0,1
netamt,netamount,67.0,80,83,47.0,1
notes,notes,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
status,status,100.0,100,100,100.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
status,status,100.0,100,100,100.0,1
notes,notes,100.0,100,100,100.0,1
note,notes,80.0,89,100,78.0,1
invref,invoicereference,38.0,55,67,35.0,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
buyer,buyername,56.00000000000001,71,100,57.99999999999999,1
matdt,maturitydate,42.0,59,60,27.0,1
supplier,suppliername,67.0,80,100,69.0,1
discamt,discountamount,50.0,67,57,24.0,1
ponum,poreference,27.0,38,40,8.0,1
grossamt,grossamount,73.0,84,88,56.99999999999999,1
invoicereference,invoicereference,100.0,100,100,100.0,1
adjustreasoncode,adjustmentreasoncode,80.0,89,75,81.0,1
txnnum,transactionreference,15.0,23,33,0.0,1
invoiceamount,invoiceamount,100.0,100,100,100.0,1
paymentdate,paymentdate,100.0,100,100,100.0,1
adjustreason,adjustmentreasoncode,60.0,75,67,64.0,1
invamt,invoiceamount,46.0,63,50,25.0,1
